Pros,0_Original,1_Lower_Punct,2_StopWords,3_Lemmatization,4_Tokens,5_PoS_Tags,VADER_Sentiment
Okay I get I'll course of this job,Okay I get I'll course of this job,okay i get ill course of this job,okay get ill course job,okay get ill course job,"['okay', 'get', 'ill', 'course', 'job']","[('okay', 'JJ'), ('get', 'NN'), ('ill', 'JJ'), ('course', 'NN'), ('job', 'NN')]",Positive
"Stable, management support and team work","Stable, management support and team work",stable management support and team work,stable management support team work,stable management support team work,"['stable', 'management', 'support', 'team', 'work']","[('stable', 'JJ'), ('management', 'NN'), ('support', 'NN'), ('team', 'NN'), ('work', 'NN')]",Positive
Stability Large market share Stability,Stability Large market share Stability,stability large market share stability,stability large market share stability,stability large market share stability,"['stability', 'large', 'market', 'share', 'stability']","[('stability', 'NN'), ('large', 'JJ'), ('market', 'NN'), ('share', 'NN'), ('stability', 'NN')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
Good financials benefits for employees,Good financials benefits for employees,good financials benefits for employees,good financials benefits employees,good financials benefit employee,"['good', 'financials', 'benefit', 'employee']","[('good', 'JJ'), ('financials', 'NNS'), ('benefit', 'VBP'), ('employee', 'NN')]",Positive
Good environment good people hard workers,Good environment good people hard workers,good environment good people hard workers,good environment good people hard workers,good environment good people hard worker,"['good', 'environment', 'good', 'people', 'hard', 'worker']","[('good', 'JJ'), ('environment', 'NN'), ('good', 'JJ'), ('people', 'NNS'), ('hard', 'JJ'), ('worker', 'NN')]",Positive
Only the knowledge you will gain is the most attractive factor you would find there,Only the knowledge you will gain is the most attractive factor you would find there,only the knowledge you will gain is the most attractive factor you would find there,knowledge gain attractive factor would find,knowledge gain attractive factor would find,"['knowledge', 'gain', 'attractive', 'factor', 'would', 'find']","[('knowledge', 'NN'), ('gain', 'NN'), ('attractive', 'JJ'), ('factor', 'NN'), ('would', 'MD'), ('find', 'VB')]",Positive
The Bank offers good bonuses,The Bank offers good bonuses,the bank offers good bonuses,bank offers good bonuses,bank offer good bonus,"['bank', 'offer', 'good', 'bonus']","[('bank', 'NN'), ('offer', 'NN'), ('good', 'JJ'), ('bonus', 'NN')]",Positive
Good environment to learn and work,Good environment to learn and work,good environment to learn and work,good environment learn work,good environment learn work,"['good', 'environment', 'learn', 'work']","[('good', 'JJ'), ('environment', 'NN'), ('learn', 'NN'), ('work', 'NN')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
recommended to work within Adib,recommended to work within Adib,recommended to work within adib,recommended work within adib,recommended work within adib,"['recommended', 'work', 'within', 'adib']","[('recommended', 'VBN'), ('work', 'NN'), ('within', 'IN'), ('adib', 'NNS')]",Positive
The workplace is good and the work doesn't require experience. They will teach you almost everything.,The workplace is good and the work doesn't require experience. They will teach you almost everything.,the workplace is good and the work doesnt require experience they will teach you almost everything,workplace good work doesnt require experience teach almost everything,workplace good work doesnt require experience teach almost everything,"['workplace', 'good', 'work', 'doesnt', 'require', 'experience', 'teach', 'almost', 'everything']","[('workplace', 'NN'), ('good', 'JJ'), ('work', 'NN'), ('doesnt', 'NN'), ('require', 'VBP'), ('experience', 'NN'), ('teach', 'NN'), ('almost', 'RB'), ('everything', 'NN')]",Positive
Progressive culture that welcomes changes,Progressive culture that welcomes changes,progressive culture that welcomes changes,progressive culture welcomes changes,progressive culture welcome change,"['progressive', 'culture', 'welcome', 'change']","[('progressive', 'JJ'), ('culture', 'NN'), ('welcome', 'JJ'), ('change', 'NN')]",Positive
Great experience and investment in employees,Great experience and investment in employees,great experience and investment in employees,great experience investment employees,great experience investment employee,"['great', 'experience', 'investment', 'employee']","[('great', 'JJ'), ('experience', 'NN'), ('investment', 'NN'), ('employee', 'NN')]",Positive
"friendly, less political environment, easy to complete task","friendly, less political environment, easy to complete task",friendly less political environment easy to complete task,friendly less political environment easy complete task,friendly less political environment easy complete task,"['friendly', 'less', 'political', 'environment', 'easy', 'complete', 'task']","[('friendly', 'RB'), ('less', 'RBR'), ('political', 'JJ'), ('environment', 'NN'), ('easy', 'JJ'), ('complete', 'JJ'), ('task', 'NN')]",Positive
strength of Experience. Smart worker,strength of Experience. Smart worker,strength of experience smart worker,strength experience smart worker,strength experience smart worker,"['strength', 'experience', 'smart', 'worker']","[('strength', 'NN'), ('experience', 'NN'), ('smart', 'NN'), ('worker', 'NN')]",Positive
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
"Stability, diversity, good place to learn","Stability, diversity, good place to learn",stability diversity good place to learn,stability diversity good place learn,stability diversity good place learn,"['stability', 'diversity', 'good', 'place', 'learn']","[('stability', 'NN'), ('diversity', 'NN'), ('good', 'JJ'), ('place', 'NN'), ('learn', 'NN')]",Positive
Decent work environment with good reputation,Decent work environment with good reputation,decent work environment with good reputation,decent work environment good reputation,decent work environment good reputation,"['decent', 'work', 'environment', 'good', 'reputation']","[('decent', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('good', 'JJ'), ('reputation', 'NN')]",Positive
Accepting new ideas and agile,Accepting new ideas and agile,accepting new ideas and agile,accepting new ideas agile,accepting new idea agile,"['accepting', 'new', 'idea', 'agile']","[('accepting', 'VBG'), ('new', 'JJ'), ('idea', 'NN'), ('agile', 'NN')]",Positive
Advanced business model with diversified gained experience.,Advanced business model with diversified gained experience.,advanced business model with diversified gained experience,advanced business model diversified gained experience,advanced business model diversified gained experience,"['advanced', 'business', 'model', 'diversified', 'gained', 'experience']","[('advanced', 'JJ'), ('business', 'NN'), ('model', 'NN'), ('diversified', 'VBD'), ('gained', 'JJ'), ('experience', 'NN')]",Positive
Money is decent for job,Money is decent for job,money is decent for job,money decent job,money decent job,"['money', 'decent', 'job']","[('money', 'NN'), ('decent', 'NN'), ('job', 'NN')]",Neutral
Good facilities and work experience,Good facilities and work experience,good facilities and work experience,good facilities work experience,good facility work experience,"['good', 'facility', 'work', 'experience']","[('good', 'JJ'), ('facility', 'NN'), ('work', 'NN'), ('experience', 'NN')]",Positive
"Good exposure 
Huge brand name 
Good bonus","Good exposure 
Huge brand name 
Good bonus","good exposure 
huge brand name 
good bonus",good exposure huge brand name good bonus,good exposure huge brand name good bonus,"['good', 'exposure', 'huge', 'brand', 'name', 'good', 'bonus']","[('good', 'JJ'), ('exposure', 'NN'), ('huge', 'JJ'), ('brand', 'NN'), ('name', 'NN'), ('good', 'JJ'), ('bonus', 'NN')]",Positive
Nice work environment and ppl,Nice work environment and ppl,nice work environment and ppl,nice work environment ppl,nice work environment ppl,"['nice', 'work', 'environment', 'ppl']","[('nice', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('ppl', 'NN')]",Positive
"It has a good work environment, good people.","It has a good work environment, good people.",it has a good work environment good people,good work environment good people,good work environment good people,"['good', 'work', 'environment', 'good', 'people']","[('good', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('good', 'JJ'), ('people', 'NNS')]",Positive
"Good environment , Skilled employees, friendly","Good environment , Skilled employees, friendly",good environment  skilled employees friendly,good environment skilled employees friendly,good environment skilled employee friendly,"['good', 'environment', 'skilled', 'employee', 'friendly']","[('good', 'JJ'), ('environment', 'NN'), ('skilled', 'VBD'), ('employee', 'NN'), ('friendly', 'RB')]",Positive
Good work environment and comfortable to porpoises and to renovate.,Good work environment and comfortable to porpoises and to renovate.,good work environment and comfortable to porpoises and to renovate,good work environment comfortable porpoises renovate,good work environment comfortable porpoise renovate,"['good', 'work', 'environment', 'comfortable', 'porpoise', 'renovate']","[('good', 'JJ'), ('work', 'NN'), ('environment', 'NN'), ('comfortable', 'JJ'), ('porpoise', 'NN'), ('renovate', 'NN')]",Positive
There is no partiality in employees.,There is no partiality in employees.,there is no partiality in employees,partiality employees,partiality employee,"['partiality', 'employee']","[('partiality', 'NN'), ('employee', 'NN')]",Negative
Great company to work and good place to learn,Great company to work and good place to learn,great company to work and good place to learn,great company work good place learn,great company work good place learn,"['great', 'company', 'work', 'good', 'place', 'learn']","[('great', 'JJ'), ('company', 'NN'), ('work', 'NN'), ('good', 'JJ'), ('place', 'NN'), ('learn', 'NN')]",Positive
Good technologies and projects and learning,Good technologies and projects and learning,good technologies and projects and learning,good technologies projects learning,good technology project learning,"['good', 'technology', 'project', 'learning']","[('good', 'JJ'), ('technology', 'NN'), ('project', 'NN'), ('learning', 'VBG')]",Positive
Work life balance is good,Work life balance is good,work life balance is good,work life balance good,work life balance good,"['work', 'life', 'balance', 'good']","[('work', 'NN'), ('life', 'NN'), ('balance', 'NN'), ('good', 'JJ')]",Positive
"It’s based in a great location

4,5 day working weeks","It’s based in a great location

4,5 day working weeks","its based in a great location

45 day working weeks",based great location 45 day working weeks,based great location 45 day working week,"['based', 'great', 'location', '45', 'day', 'working', 'week']","[('based', 'VBN'), ('great', 'JJ'), ('location', 'NN'), ('45', 'CD'), ('day', 'NN'), ('working', 'VBG'), ('week', 'NN')]",Positive
risk remedial. . . .,risk remedial. . . .,risk remedial   ,risk remedial,risk remedial,"['risk', 'remedial']","[('risk', 'NN'), ('remedial', 'NN')]",Negative
Learning Growth New roles and Challenges,Learning Growth New roles and Challenges,learning growth new roles and challenges,learning growth new roles challenges,learning growth new role challenge,"['learning', 'growth', 'new', 'role', 'challenge']","[('learning', 'VBG'), ('growth', 'NN'), ('new', 'JJ'), ('role', 'NN'), ('challenge', 'NN')]",Positive
main bank in UAE and can build relations,main bank in UAE and can build relations,main bank in uae and can build relations,main bank uae build relations,main bank uae build relation,"['main', 'bank', 'uae', 'build', 'relation']","[('main', 'JJ'), ('bank', 'NN'), ('uae', 'JJ'), ('build', 'JJ'), ('relation', 'NN')]",Neutral
U will gain a good experience,U will gain a good experience,u will gain a good experience,u gain good experience,u gain good experience,"['u', 'gain', 'good', 'experience']","[('u', 'JJ'), ('gain', 'NN'), ('good', 'JJ'), ('experience', 'NN')]",Positive
Good please to work in the uae,Good please to work in the uae,good please to work in the uae,good please work uae,good please work uae,"['good', 'please', 'work', 'uae']","[('good', 'JJ'), ('please', 'NN'), ('work', 'NN'), ('uae', 'NN')]",Positive
"Stable work, good work environment","Stable work, good work environment",stable work good work environment,stable work good work environment,stable work good work environment,"['stable', 'work', 'good', 'work', 'environment']","[('stable', 'JJ'), ('work', 'NN'), ('good', 'JJ'), ('work', 'NN'), ('environment', 'NN')]",Positive
"Stable bank, piece of mind","Stable bank, piece of mind",stable bank piece of mind,stable bank piece mind,stable bank piece mind,"['stable', 'bank', 'piece', 'mind']","[('stable', 'JJ'), ('bank', 'NN'), ('piece', 'NN'), ('mind', 'NN')]",Positive
Best Islamic Bank in the World.,Best Islamic Bank in the World.,best islamic bank in the world,best islamic bank world,best islamic bank world,"['best', 'islamic', 'bank', 'world']","[('best', 'JJS'), ('islamic', 'JJ'), ('bank', 'NN'), ('world', 'NN')]",Positive
The bank is expanding and attracts good calibers. Huge room for learning and progressing,The bank is expanding and attracts good calibers. Huge room for learning and progressing,the bank is expanding and attracts good calibers huge room for learning and progressing,bank expanding attracts good calibers huge room learning progressing,bank expanding attracts good caliber huge room learning progressing,"['bank', 'expanding', 'attracts', 'good', 'caliber', 'huge', 'room', 'learning', 'progressing']","[('bank', 'NN'), ('expanding', 'VBG'), ('attracts', 'NNS'), ('good', 'JJ'), ('caliber', 'NN'), ('huge', 'JJ'), ('room', 'NN'), ('learning', 'VBG'), ('progressing', 'VBG')]",Positive
"Friendly Environment, good salary for top management","Friendly Environment, good salary for top management",friendly environment good salary for top management,friendly environment good salary top management,friendly environment good salary top management,"['friendly', 'environment', 'good', 'salary', 'top', 'management']","[('friendly', 'JJ'), ('environment', 'NN'), ('good', 'JJ'), ('salary', 'NN'), ('top', 'JJ'), ('management', 'NN')]",Positive
Abu Dhabi Islamic Bank is one of the best &amp; leading banking industry in UAE,Abu Dhabi Islamic Bank is one of the best &amp; leading banking industry in UAE,abu dhabi islamic bank is one of the best amp leading banking industry in uae,abu dhabi islamic bank one best amp leading banking industry uae,abu dhabi islamic bank one best amp leading banking industry uae,"['abu', 'dhabi', 'islamic', 'bank', 'one', 'best', 'amp', 'leading', 'banking', 'industry', 'uae']","[('abu', 'NN'), ('dhabi', 'NNS'), ('islamic', 'JJ'), ('bank', 'NN'), ('one', 'CD'), ('best', 'JJS'), ('amp', 'NN'), ('leading', 'VBG'), ('banking', 'NN'), ('industry', 'NN'), ('uae', 'NN')]",Positive
"stable and good team, get involved in a variety of work","stable and good team, get involved in a variety of work",stable and good team get involved in a variety of work,stable good team get involved variety work,stable good team get involved variety work,"['stable', 'good', 'team', 'get', 'involved', 'variety', 'work']","[('stable', 'JJ'), ('good', 'JJ'), ('team', 'NN'), ('get', 'VB'), ('involved', 'JJ'), ('variety', 'NN'), ('work', 'NN')]",Positive
"Stable, decent people easy to work with,","Stable, decent people easy to work with,",stable decent people easy to work with,stable decent people easy work,stable decent people easy work,"['stable', 'decent', 'people', 'easy', 'work']","[('stable', 'JJ'), ('decent', 'JJ'), ('people', 'NNS'), ('easy', 'JJ'), ('work', 'NN')]",Positive
Technology driven Islamic bank with great roadmap,Technology driven Islamic bank with great roadmap,technology driven islamic bank with great roadmap,technology driven islamic bank great roadmap,technology driven islamic bank great roadmap,"['technology', 'driven', 'islamic', 'bank', 'great', 'roadmap']","[('technology', 'NN'), ('driven', 'NNS'), ('islamic', 'JJ'), ('bank', 'NN'), ('great', 'JJ'), ('roadmap', 'NN')]",Positive
"Friendly boss, not much pros","Friendly boss, not much pros",friendly boss not much pros,friendly boss much pros,friendly bos much pro,"['friendly', 'bos', 'much', 'pro']","[('friendly', 'RB'), ('bos', 'RB'), ('much', 'JJ'), ('pro', 'NN')]",Positive
Migration project experience and intellect system,Migration project experience and intellect system,migration project experience and intellect system,migration project experience intellect system,migration project experience intellect system,"['migration', 'project', 'experience', 'intellect', 'system']","[('migration', 'NN'), ('project', 'NN'), ('experience', 'NN'), ('intellect', 'NN'), ('system', 'NN')]",Positive
Healthy and good environment with many aspects to learn .,Healthy and good environment with many aspects to learn .,healthy and good environment with many aspects to learn ,healthy good environment many aspects learn,healthy good environment many aspect learn,"['healthy', 'good', 'environment', 'many', 'aspect', 'learn']","[('healthy', 'JJ'), ('good', 'JJ'), ('environment', 'NN'), ('many', 'JJ'), ('aspect', 'NN'), ('learn', 'NN')]",Positive
good bank to work as a start,good bank to work as a start,good bank to work as a start,good bank work start,good bank work start,"['good', 'bank', 'work', 'start']","[('good', 'JJ'), ('bank', 'NN'), ('work', 'NN'), ('start', 'NN')]",Positive
i worked bank in abu dhabi since 2004.,i worked bank in abu dhabi since 2004.,i worked bank in abu dhabi since 2004,worked bank abu dhabi since 2004,worked bank abu dhabi since 2004,"['worked', 'bank', 'abu', 'dhabi', 'since', '2004']","[('worked', 'JJ'), ('bank', 'NN'), ('abu', 'IN'), ('dhabi', 'NN'), ('since', 'IN'), ('2004', 'CD')]",Neutral
The Compensation Analyst will research job requirements and evaluate job positions to ensure the company is competitive in the areas of salaries and employee benefits.,The Compensation Analyst will research job requirements and evaluate job positions to ensure the company is competitive in the areas of salaries and employee benefits.,the compensation analyst will research job requirements and evaluate job positions to ensure the company is competitive in the areas of salaries and employee benefits,compensation analyst research job requirements evaluate job positions ensure company competitive areas salaries employee benefits,compensation analyst research job requirement evaluate job position ensure company competitive area salary employee benefit,"['compensation', 'analyst', 'research', 'job', 'requirement', 'evaluate', 'job', 'position', 'ensure', 'company', 'competitive', 'area', 'salary', 'employee', 'benefit']","[('compensation', 'NN'), ('analyst', 'NN'), ('research', 'NN'), ('job', 'NN'), ('requirement', 'NN'), ('evaluate', 'VB'), ('job', 'NN'), ('position', 'NN'), ('ensure', 'VB'), ('company', 'NN'), ('competitive', 'JJ'), ('area', 'NN'), ('salary', 'JJ'), ('employee', 'NN'), ('benefit', 'NN')]",Positive
"Good Environment

Exposed to a lot of Different IT Systems 

Good learning environment","Good Environment

Exposed to a lot of Different IT Systems 

Good learning environment","good environment

exposed to a lot of different it systems 

good learning environment",good environment exposed lot different systems good learning environment,good environment exposed lot different system good learning environment,"['good', 'environment', 'exposed', 'lot', 'different', 'system', 'good', 'learning', 'environment']","[('good', 'JJ'), ('environment', 'NN'), ('exposed', 'VBN'), ('lot', 'RB'), ('different', 'JJ'), ('system', 'NN'), ('good', 'JJ'), ('learning', 'NN'), ('environment', 'NN')]",Positive
"One of the big name name in financial sector ,multinational Bank","One of the big name name in financial sector ,multinational Bank",one of the big name name in financial sector multinational bank,one big name name financial sector multinational bank,one big name name financial sector multinational bank,"['one', 'big', 'name', 'name', 'financial', 'sector', 'multinational', 'bank']","[('one', 'CD'), ('big', 'JJ'), ('name', 'NN'), ('name', 'NN'), ('financial', 'JJ'), ('sector', 'NN'), ('multinational', 'JJ'), ('bank', 'NN')]",Neutral
#NAME?,#NAME?,name,name,name,['name'],"[('name', 'NN')]",Neutral
good place with low salary but you will learn a lot there.,good place with low salary but you will learn a lot there.,good place with low salary but you will learn a lot there,good place low salary learn lot,good place low salary learn lot,"['good', 'place', 'low', 'salary', 'learn', 'lot']","[('good', 'JJ'), ('place', 'NN'), ('low', 'JJ'), ('salary', 'NN'), ('learn', 'NN'), ('lot', 'NN')]",Positive
"Good working place

Experienced team managers

Very comfortable environment where you actually sometimes forget that you're in a workplace but in a professional way.

Over the 2 years i have learned so much from transfers and Treasury . the bank staff always encourage you to learn something new and provide trainings for the desired subjects.","Good working place

Experienced team managers

Very comfortable environment where you actually sometimes forget that you're in a workplace but in a professional way.

Over the 2 years i have learned so much from transfers and Treasury . the bank staff always encourage you to learn something new and provide trainings for the desired subjects.","good working place

experienced team managers

very comfortable environment where you actually sometimes forget that youre in a workplace but in a professional way

over the 2 years i have learned so much from transfers and treasury  the bank staff always encourage you to learn something new and provide trainings for the desired subjects",good working place experienced team managers comfortable environment actually sometimes forget youre workplace professional way 2 years learned much transfers treasury bank staff always encourage learn something new provide trainings desired subjects,good working place experienced team manager comfortable environment actually sometimes forget youre workplace professional way 2 year learned much transfer treasury bank staff always encourage learn something new provide training desired subject,"['good', 'working', 'place', 'experienced', 'team', 'manager', 'comfortable', 'environment', 'actually', 'sometimes', 'forget', 'youre', 'workplace', 'professional', 'way', '2', 'year', 'learned', 'much', 'transfer', 'treasury', 'bank', 'staff', 'always', 'encourage', 'learn', 'something', 'new', 'provide', 'training', 'desired', 'subject']","[('good', 'JJ'), ('working', 'VBG'), ('place', 'NN'), ('experienced', 'VBD'), ('team', 'NN'), ('manager', 'NN'), ('comfortable', 'JJ'), ('environment', 'NN'), ('actually', 'RB'), ('sometimes', 'RB'), ('forget', 'VB'), ('youre', 'JJ'), ('workplace', 'NN'), ('professional', 'JJ'), ('way', 'NN'), ('2', 'CD'), ('year', 'NN'), ('learned', 'VBD'), ('much', 'JJ'), ('transfer', 'NN'), ('treasury', 'NN'), ('bank', 'NN'), ('staff', 'NN'), ('always', 'RB'), ('encourage', 'VB'), ('learn', 'VB'), ('something', 'NN'), ('new', 'JJ'), ('provide', 'JJ'), ('training', 'NN'), ('desired', 'VBD'), ('subject', 'JJ')]",Positive
"Comfortable Team members, Latest technologies, Microsoft empowered technologies. Good Facilities.","Comfortable Team members, Latest technologies, Microsoft empowered technologies. Good Facilities.",comfortable team members latest technologies microsoft empowered technologies good facilities,comfortable team members latest technologies microsoft empowered technologies good facilities,comfortable team member latest technology microsoft empowered technology good facility,"['comfortable', 'team', 'member', 'latest', 'technology', 'microsoft', 'empowered', 'technology', 'good', 'facility']","[('comfortable', 'JJ'), ('team', 'NN'), ('member', 'NN'), ('latest', 'JJS'), ('technology', 'NN'), ('microsoft', 'NN'), ('empowered', 'VBD'), ('technology', 'NN'), ('good', 'JJ'), ('facility', 'NN')]",Positive
"Work life balance

Public holidays

Slow work","Work life balance

Public holidays

Slow work","work life balance

public holidays

slow work",work life balance public holidays slow work,work life balance public holiday slow work,"['work', 'life', 'balance', 'public', 'holiday', 'slow', 'work']","[('work', 'NN'), ('life', 'NN'), ('balance', 'NN'), ('public', 'JJ'), ('holiday', 'NN'), ('slow', 'JJ'), ('work', 'NN')]",Positive
Good environment and good stuff,Good environment and good stuff,good environment and good stuff,good environment good stuff,good environment good stuff,"['good', 'environment', 'good', 'stuff']","[('good', 'JJ'), ('environment', 'NN'), ('good', 'JJ'), ('stuff', 'NN')]",Positive
"Management have abnormal pressure
And no timing of working","Management have abnormal pressure
And no timing of working","management have abnormal pressure
and no timing of working",management abnormal pressure timing working,management abnormal pressure timing working,"['management', 'abnormal', 'pressure', 'timing', 'working']","[('management', 'NN'), ('abnormal', 'JJ'), ('pressure', 'NN'), ('timing', 'VBG'), ('working', 'VBG')]",Negative
Good place and good salary,Good place and good salary,good place and good salary,good place good salary,good place good salary,"['good', 'place', 'good', 'salary']","[('good', 'JJ'), ('place', 'NN'), ('good', 'JJ'), ('salary', 'NN')]",Positive
"- Average basic salary, with a generous allowances. 

- Medical, life &amp; disability insurance included.

- Annual leave of 25 working days per year.","- Average basic salary, with a generous allowances. 

- Medical, life &amp; disability insurance included.

- Annual leave of 25 working days per year."," average basic salary with a generous allowances 

 medical life amp disability insurance included

 annual leave of 25 working days per year",average basic salary generous allowances medical life amp disability insurance included annual leave 25 working days per year,average basic salary generous allowance medical life amp disability insurance included annual leave 25 working day per year,"['average', 'basic', 'salary', 'generous', 'allowance', 'medical', 'life', 'amp', 'disability', 'insurance', 'included', 'annual', 'leave', '25', 'working', 'day', 'per', 'year']","[('average', 'JJ'), ('basic', 'JJ'), ('salary', 'JJ'), ('generous', 'JJ'), ('allowance', 'NN'), ('medical', 'JJ'), ('life', 'NN'), ('amp', 'NN'), ('disability', 'NN'), ('insurance', 'NN'), ('included', 'VBD'), ('annual', 'JJ'), ('leave', 'VBP'), ('25', 'CD'), ('working', 'VBG'), ('day', 'NN'), ('per', 'IN'), ('year', 'NN')]",Positive
Great institution to work at,Great institution to work at,great institution to work at,great institution work,great institution work,"['great', 'institution', 'work']","[('great', 'JJ'), ('institution', 'NN'), ('work', 'NN')]",Positive
nothing is there to explain,nothing is there to explain,nothing is there to explain,nothing explain,nothing explain,"['nothing', 'explain']","[('nothing', 'NN'), ('explain', 'NN')]",Neutral
Non Non Non Non Non,Non Non Non Non Non,non non non non non,non non non non non,non non non non non,"['non', 'non', 'non', 'non', 'non']","[('non', 'NN'), ('non', 'NN'), ('non', 'NN'), ('non', 'NN'), ('non', 'NN')]",Neutral
None to describe out here,None to describe out here,none to describe out here,none describe,none describe,"['none', 'describe']","[('none', 'NN'), ('describe', 'NN')]",Neutral
environment is pretty damn good,environment is pretty damn good,environment is pretty damn good,environment pretty damn good,environment pretty damn good,"['environment', 'pretty', 'damn', 'good']","[('environment', 'NN'), ('pretty', 'RB'), ('damn', 'RB'), ('good', 'JJ')]",Positive
Work-life balance and friendly staff,Work-life balance and friendly staff,worklife balance and friendly staff,worklife balance friendly staff,worklife balance friendly staff,"['worklife', 'balance', 'friendly', 'staff']","[('worklife', 'JJ'), ('balance', 'NN'), ('friendly', 'JJ'), ('staff', 'NN')]",Positive
Provides good experience and exposure to the market,Provides good experience and exposure to the market,provides good experience and exposure to the market,provides good experience exposure market,provides good experience exposure market,"['provides', 'good', 'experience', 'exposure', 'market']","[('provides', 'VBZ'), ('good', 'JJ'), ('experience', 'NN'), ('exposure', 'NN'), ('market', 'NN')]",Positive
Good good good good good,Good good good good good,good good good good good,good good good good good,good good good good good,"['good', 'good', 'good', 'good', 'good']","[('good', 'JJ'), ('good', 'JJ'), ('good', 'JJ'), ('good', 'NN'), ('good', 'NN')]",Positive
Great process oriented education in most fields.,Great process oriented education in most fields.,great process oriented education in most fields,great process oriented education fields,great process oriented education field,"['great', 'process', 'oriented', 'education', 'field']","[('great', 'JJ'), ('process', 'NN'), ('oriented', 'VBN'), ('education', 'NN'), ('field', 'NN')]",Positive
Introduce a  significant career growth,Introduce a  significant career growth,introduce a  significant career growth,introduce significant career growth,introduce significant career growth,"['introduce', 'significant', 'career', 'growth']","[('introduce', 'NN'), ('significant', 'JJ'), ('career', 'NN'), ('growth', 'NN')]",Positive
Work atmosphere and the team support,Work atmosphere and the team support,work atmosphere and the team support,work atmosphere team support,work atmosphere team support,"['work', 'atmosphere', 'team', 'support']","[('work', 'NN'), ('atmosphere', 'RB'), ('team', 'JJ'), ('support', 'NN')]",Positive
Good experience and environment to work in,Good experience and environment to work in,good experience and environment to work in,good experience environment work,good experience environment work,"['good', 'experience', 'environment', 'work']","[('good', 'JJ'), ('experience', 'NN'), ('environment', 'NN'), ('work', 'NN')]",Positive
Easy jobs with easy admins,Easy jobs with easy admins,easy jobs with easy admins,easy jobs easy admins,easy job easy admins,"['easy', 'job', 'easy', 'admins']","[('easy', 'JJ'), ('job', 'NN'), ('easy', 'JJ'), ('admins', 'NNS')]",Positive
"Fast growing, always improving, relatively stable for employees. No bell curve in the appraisal system.","Fast growing, always improving, relatively stable for employees. No bell curve in the appraisal system.",fast growing always improving relatively stable for employees no bell curve in the appraisal system,fast growing always improving relatively stable employees bell curve appraisal system,fast growing always improving relatively stable employee bell curve appraisal system,"['fast', 'growing', 'always', 'improving', 'relatively', 'stable', 'employee', 'bell', 'curve', 'appraisal', 'system']","[('fast', 'RB'), ('growing', 'VBG'), ('always', 'RB'), ('improving', 'VBG'), ('relatively', 'RB'), ('stable', 'JJ'), ('employee', 'NN'), ('bell', 'NN'), ('curve', 'NN'), ('appraisal', 'NN'), ('system', 'NN')]",Positive
"* good salary 

* you get paid on time

* your overtime hours are appreciated and paid

* good colleagues

* the place location is good","* good salary 

* you get paid on time

* your overtime hours are appreciated and paid

* good colleagues

* the place location is good"," good salary 

 you get paid on time

 your overtime hours are appreciated and paid

 good colleagues

 the place location is good",good salary get paid time overtime hours appreciated paid good colleagues place location good,good salary get paid time overtime hour appreciated paid good colleague place location good,"['good', 'salary', 'get', 'paid', 'time', 'overtime', 'hour', 'appreciated', 'paid', 'good', 'colleague', 'place', 'location', 'good']","[('good', 'JJ'), ('salary', 'JJ'), ('get', 'NN'), ('paid', 'VBN'), ('time', 'NN'), ('overtime', 'JJ'), ('hour', 'NN'), ('appreciated', 'VBD'), ('paid', 'VBD'), ('good', 'JJ'), ('colleague', 'NN'), ('place', 'NN'), ('location', 'NN'), ('good', 'NN')]",Positive
High paced work environment and good environment,High paced work environment and good environment,high paced work environment and good environment,high paced work environment good environment,high paced work environment good environment,"['high', 'paced', 'work', 'environment', 'good', 'environment']","[('high', 'JJ'), ('paced', 'VBD'), ('work', 'NN'), ('environment', 'NN'), ('good', 'JJ'), ('environment', 'NN')]",Positive
Family friendly environment and stability,Family friendly environment and stability,family friendly environment and stability,family friendly environment stability,family friendly environment stability,"['family', 'friendly', 'environment', 'stability']","[('family', 'NN'), ('friendly', 'RB'), ('environment', 'NN'), ('stability', 'NN')]",Positive
brand local markets is good,brand local markets is good,brand local markets is good,brand local markets good,brand local market good,"['brand', 'local', 'market', 'good']","[('brand', 'NN'), ('local', 'JJ'), ('market', 'NN'), ('good', 'JJ')]",Positive
One of the top banks in UAE,One of the top banks in UAE,one of the top banks in uae,one top banks uae,one top bank uae,"['one', 'top', 'bank', 'uae']","[('one', 'CD'), ('top', 'JJ'), ('bank', 'NN'), ('uae', 'NN')]",Positive
experience you gain and professional conduct,experience you gain and professional conduct,experience you gain and professional conduct,experience gain professional conduct,experience gain professional conduct,"['experience', 'gain', 'professional', 'conduct']","[('experience', 'NN'), ('gain', 'NN'), ('professional', 'JJ'), ('conduct', 'NN')]",Positive
Although the low salaries but the have some incentives related to target,Although the low salaries but the have some incentives related to target,although the low salaries but the have some incentives related to target,although low salaries incentives related target,although low salary incentive related target,"['although', 'low', 'salary', 'incentive', 'related', 'target']","[('although', 'IN'), ('low', 'JJ'), ('salary', 'JJ'), ('incentive', 'NN'), ('related', 'VBN'), ('target', 'NN')]",Positive
